Start Time (UTC),End Time (UTC),Exact Peak Time (UTC),Sharp Peak Intensity,HDU,Dwell Number
2024-07-31 06:31:24.554426,2024-07-31 06:31:27.770922,2024-07-31 06:28:22.822363,44,HDU_5,478090007
2024-07-31 06:29:06.185316,2024-07-31 06:29:09.417066,2024-07-31 06:28:22.556690,115,HDU_6,478090007
2024-07-31 06:31:18.687066,2024-07-31 06:31:21.918816,2024-07-31 06:28:22.556690,116,HDU_6,478090007
2024-07-31 06:31:21.918816,2024-07-31 06:31:25.150566,2024-07-31 06:28:22.556690,125,HDU_6,478090007
2024-07-31 06:41:32.238016,2024-07-31 06:41:36.944889,2024-07-31 06:41:34.591452,1,HDU_7,478090008
2024-07-31 06:43:39.323596,2024-07-31 06:43:44.030469,2024-07-31 06:41:34.591452,1,HDU_7,478090008
2024-07-31 06:44:21.685455,2024-07-31 06:44:26.392329,2024-07-31 06:41:34.591452,2,HDU_7,478090008
2024-07-31 06:45:31.790916,2024-07-31 06:45:34.451446,2024-07-31 06:45:33.121180,1,HDU_8,478090008
2024-07-31 06:48:08.762186,2024-07-31 06:48:11.422716,2024-07-31 06:45:33.121180,1,HDU_8,478090008
2024-07-31 06:50:00.367516,2024-07-31 06:50:02.618852,2024-07-31 06:50:01.493184,1,HDU_10,478090009
2024-07-31 06:52:13.196379,2024-07-31 06:52:15.447715,2024-07-31 06:50:01.493184,1,HDU_10,478090009
2024-07-31 06:50:00.367516,2024-07-31 06:50:02.618852,2024-07-31 06:50:01.493184,1,HDU_12,478090009
2024-07-31 06:50:02.618852,2024-07-31 06:50:04.870189,2024-07-31 06:50:01.493184,1,HDU_12,478090009
2024-07-31 06:52:13.196379,2024-07-31 06:52:15.447715,2024-07-31 06:50:01.493184,1,HDU_12,478090009
2024-07-31 07:03:21.923807,2024-07-31 07:03:27.359986,2024-07-31 07:02:57.461005,802,HDU_15,478090010
2024-07-31 07:08:04.605080,2024-07-31 07:08:10.041259,2024-07-31 07:02:57.461005,3261,HDU_15,478090010
